Year;vocational training total;university degree;without vocational training
1993;24427;4691;5235
1994;24396;4837;5074
1995;24342;4981;4897
1996;24036;5329;4742
1997;24037;5477;4428
1998;23969;5598;4393
1999;23893;5676;4860
2000;23906;5832;4888
2001;24129;5880;4888
2002;24017;5861;4784
2003;22496;5513;8163
2004;21881;5730;8048
2005;23568;6021;6977
2006;23894;6187;7262
2007;24548;6436;7179
2008;24790;6824;7120
2009;24618;7105;6939
2010;24798;7095;7046
2011;25371;6824;6719
2012;25289;7232;6684
2013;25213;7603;6801
2014;25296;7884;6761
2015;25242;8181;6856
2016;25121;9010;7207
