Year;education total;vocational training total;university degree;without vocational training;total
1993;29118;24427;4691;5235;34353
1994;29233;24396;4837;5074;34307
1995;29323;24342;4981;4897;34221
1996;29365;24036;5329;4742;34107
1997;29513;24037;5477;4428;33941
1998;29567;23969;5598;4393;33960
1999;29569;23893;5676;4860;34429
2000;29738;23906;5832;4888;34626
2001;30009;24129;5880;4888;34897
2002;29878;24017;5861;4784;34662
2003;28009;22496;5513;8163;36172
2004;27611;21881;5730;8048;35659
2005;29589;23568;6021;6977;36566
2006;30081;23894;6187;7262;37344
2007;30984;24548;6436;7179;38163
2008;31614;24790;6824;7120;38734
2009;31723;24618;7105;6939;38662
2010;31893;24798;7095;7046;38938
2011;32195;25371;6824;6719;38916
2012;32521;25289;7232;6684;39206
2013;32816;25213;7603;6801;39618
2014;33180;25296;7884;6761;39942
2015;33423;25242;8181;6856;40279
2016;34131;25121;9010;7207;41339
